window_id,category,cut3r_trained_iou,cut3r_random_iou,dinov2_iou,delta_cut3r_trained_minus_cut3r_random,delta_cut3r_trained_minus_dinov2,delta_cut3r_random_minus_dinov2
window-93601fcc35fb4b1b3228,bowl,0.9541984732824428,0.0,0.9590643274853801,0.9541984732824428,-0.004865854202937281,-0.9590643274853801
window-962f49c1fa35c26441bd,baseballbat,0.9090909090909091,0.16176470588235295,0.71875,0.7473262032085561,0.19034090909090906,-0.5569852941176471
window-9f4291d64de5db233f0b,carrot,0.9615384615384616,0.4230769230769231,0.9166666666666666,0.5384615384615385,0.044871794871794934,-0.49358974358974356
window-a2703139524794b105b1,kite,0.6978723404255319,0.7247191011235955,0.7978339350180506,-0.026846760698063576,-0.09996159459251863,-0.07311483389445506
window-a33b0ed12a0bdf4e4649,ball,0.9782608695652174,0.4606741573033708,0.9508196721311475,0.5175867122618466,0.02744119743406992,-0.4901455148277767
window-a5c5b97d727fcf4102bd,apple,0.5,0.2441860465116279,0.90625,0.2558139534883721,-0.40625,-0.6620639534883721
window-a66732064331ef113b39,mouse,0.9384615384615385,0.4609375,0.9523809523809523,0.47752403846153846,-0.01391941391941387,-0.49144345238095233
window-a9b2ed75fc7a7a62f41d,baseballbat,0.7142857142857143,0.1592920353982301,0.8571428571428571,0.5549936788874842,-0.1428571428571428,-0.697850821744627
window-abc786b1b9eda4a22cd2,cup,1.0,0.1360544217687075,0.9852941176470589,0.8639455782312925,0.014705882352941124,-0.8492396958783514
window-b24323179d8cb957a840,toyplane,0.9672131147540983,0.3597122302158273,0.8295454545454546,0.607500884538271,0.13766766020864374,-0.46983322432962726
window-b52275bf2b737315ba50,handbag,0.972972972972973,0.823728813559322,0.9536231884057971,0.149244159413651,0.019349784567175954,-0.12989437484647504
window-b63af212afc19fb3c31b,bench,0.9619047619047619,0.0,0.9071428571428571,0.9619047619047619,0.05476190476190479,-0.9071428571428571
window-b8d84cbe31f374bc6054,parkingmeter,0.34782608695652173,0.0,0.375,0.34782608695652173,-0.02717391304347827,-0.375
window-b94a42285432640d8a45,parkingmeter,0.14655172413793102,0.08024691358024691,0.47191011235955055,0.06630481055768411,-0.32535838822161955,-0.39166319877930367
